                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3479,                0.18462,                      1,                 1.4221,                      0,                      0,                      0
                      2,                 3.3479,                0.18462,                      1,                 1.4212,             6.9044e-06,             6.9044e-06,             6.9044e-06
                      3,                 3.3359,                    0.2,                      1,                 1.4193,             1.3338e-05,             1.3338e-05,             1.3338e-05
                      4,                 3.3129,                0.26154,                      1,                 1.4165,             1.9299e-05,             1.9299e-05,             1.9299e-05
                      5,                 3.2801,                0.27692,                      1,                 1.4131,              2.479e-05,              2.479e-05,              2.479e-05
                      6,                 3.2385,                0.27692,                      1,                  1.409,              2.981e-05,              2.981e-05,              2.981e-05
                      7,                 3.1896,                0.27692,                      1,                 1.4044,             3.4358e-05,             3.4358e-05,             3.4358e-05
                      8,                 3.1346,                0.27692,                      1,                 1.3994,             3.8435e-05,             3.8435e-05,             3.8435e-05
                      9,                 3.0747,                0.30769,                      1,                 1.3938,              4.204e-05,              4.204e-05,              4.204e-05
                     10,                 3.0112,                0.33846,                      1,                 1.3876,             4.5175e-05,             4.5175e-05,             4.5175e-05
                     11,                 2.9449,                0.36923,                      1,                 1.3808,             4.7838e-05,             4.7838e-05,             4.7838e-05
                     12,                  2.877,                0.38462,                      1,                 1.3735,              5.003e-05,              5.003e-05,              5.003e-05
                     13,                 2.8081,                0.43077,                      1,                 1.3657,             5.1751e-05,             5.1751e-05,             5.1751e-05
                     14,                 2.7391,                0.49231,                      1,                 1.3575,                5.3e-05,                5.3e-05,                5.3e-05
                     15,                 2.6704,                0.53846,                      1,                  1.349,             5.3778e-05,             5.3778e-05,             5.3778e-05
                     16,                 2.6028,                0.58462,                      1,                 1.3403,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     17,                 2.5365,                0.61538,                      1,                 1.3316,             5.3921e-05,             5.3921e-05,             5.3921e-05
                     18,                 2.4721,                0.63077,                      1,                 1.3228,             5.3286e-05,             5.3286e-05,             5.3286e-05
                     19,                 2.4099,                0.69231,                      1,                 1.3141,             5.2179e-05,             5.2179e-05,             5.2179e-05
                     20,                 2.3504,                0.67692,                      1,                 1.3057,             5.0601e-05,             5.0601e-05,             5.0601e-05
                     21,                 2.2938,                0.70769,                      1,                 1.2976,             4.8552e-05,             4.8552e-05,             4.8552e-05
                     22,                 2.2406,                0.72308,                      1,                 1.2899,             4.6032e-05,             4.6032e-05,             4.6032e-05
                     23,                  2.191,                0.76923,                      1,                 1.2827,              4.304e-05,              4.304e-05,              4.304e-05
                     24,                 2.1454,                0.78462,                      1,                 1.2761,             3.9577e-05,             3.9577e-05,             3.9577e-05
                     25,                 2.1041,                0.78462,                      1,                 1.2702,             3.5643e-05,             3.5643e-05,             3.5643e-05
                     26,                 2.0674,                0.78462,                      1,                  1.265,             3.1237e-05,             3.1237e-05,             3.1237e-05
                     27,                 2.0356,                0.78462,                      1,                 1.2606,             2.6361e-05,             2.6361e-05,             2.6361e-05
                     28,                  2.009,                0.78462,                      1,                  1.257,             2.1013e-05,             2.1013e-05,             2.1013e-05
                     29,                 1.9879,                0.78462,                      1,                 1.2544,             1.5194e-05,             1.5194e-05,             1.5194e-05
                     30,                 1.9728,                0.78462,                      1,                 1.2528,             8.9036e-06,             8.9036e-06,             8.9036e-06
